Restaurant Restaurant ID,Restaurant Restaurant Name,Address,Post Code,Full Address,Latitude,Longitude,Weekly orders
224192,McDonald's - La Vaguada,"Av. de Monforte de Lemos, 36,",28029,"Av. de Monforte de Lemos, 36, 28029 ",40.4798322,-3.707023,37
230817,La Piemontesa,Avda. Siglo XXI 13,28660,Avda. Siglo XXI 13 28660 ,40.4068109,-3.9008762,31
251513,80 Grados Pozuelo,"Av. de Europa, 11",28224,"Av. de Europa, 11 28224 ",40.4382078,-3.7943604,40
257608,KFC MADRID CC PLENILUNIO - Activo,"C/ Aracne S/N CC Plenilunio,",28022,"C/ Aracne S/N CC Plenilunio, 28022 ",40.446969,-3.587343,34
23961,Vips - Mirasierra,"Calle Mirador de la Reina, 107",28035,"Calle Mirador de la Reina, 107 28035 ",40.4908116,-3.7225264,29
140519,Tony Roma's - Silvano,"Calle de Silvano, 92",28043,"Calle de Silvano, 92 28043 ",40.4624843,-3.6378318,29
159173,Foster's Hollywood - Avenida Europa,"Av. de la Comunidad de Madrid, 3 - Pozuelo de Alarcón",28224,"Av. de la Comunidad de Madrid, 3 - Pozuelo de Alarcón 28224 ",40.4387741,-3.7935612,26
162421,Starbucks - Diversia,"Av. de Bruselas, 21",28108,"Av. de Bruselas, 21 28108 ",40.5300823,-3.6396724,22
162447,Starbucks - Orense 79,"Calle de Orense, 79",28020,"Calle de Orense, 79 28020 ",40.4596586,-3.6944521,32
180687,Papa John's Vallejo,"Paseo de Juan Antonio Vallejo-Nájera Botas, 25",28005,"Paseo de Juan Antonio Vallejo-Nájera Botas, 25 28005 ",40.4016859,-3.708348,30
216925,El Corte Inglés - (Sanchinarro),"Calle Margarita de Parma, 1,",28050,"Calle Margarita de Parma, 1, 28050 ",40.4977309,-3.6611356,38
231801,KFC MADRID CC ISLAZUL - Activo,"CC Islazul. Avd De la Peseta. C/ de la Calderilla, 1. Local 144A,",28054,"CC Islazul. Avd De la Peseta. C/ de la Calderilla, 1. Local 144A, 28054 ",40.3633759,-3.7389515,42
242678,El Corte Inglés - (C.Naciones),"Avda. de los Andes, 50",28042,"Avda. de los Andes, 50 28042 ",40.4564336,-3.6178227,33
249656,McDonald's - Kinépolis,"C/Edgar Neville, s/n Ciudad de la Imagen,",28223,"C/Edgar Neville, s/n Ciudad de la Imagen, 28223 ",40.3943626,-3.7983148,34
253281,McDonald's - Cuatro Caminos,Glorieta de Cuatro Caminos 5,28020,Glorieta de Cuatro Caminos 5 28020 ,40.4474663,-3.7042083,41
255757,Restaurante Seng,"Av. Siglo XXI 9, local 10",28660,"Av. Siglo XXI 9, local 10 28660 ",40.406284,-3.897548,24
22497,Tuk-Tuk Alcala,"Calle de Alcalá, 167",28009,"Calle de Alcalá, 167 28009 ",40.4262427,-3.6729128,36
26645,Goiko Grill - Santa Engracia,"Calle de Sta Engracia, 157",28003,"Calle de Sta Engracia, 157 28003 ",40.4445826,-3.7032462,31
77823,Mandarin Express,Calle Jaen 23,28020,Calle Jaen 23 28020 ,40.4504599,-3.700139,40
154553,Mister O1 Pizza Extraordinaria,"Calle de Sor Ángela de la Cruz, 22",28020,"Calle de Sor Ángela de la Cruz, 22 28020 ",40.4598505,-3.6949655,37
164652,Macao at Home,Calle Príncipe 16,28012,Calle Príncipe 16 28012 ,40.4153847,-3.7006407,35
171276,La Federala,"Calle Polvoranca, 108",28923,"Calle Polvoranca, 108 28923 ",40.33825,-3.8135311,28
202699,Taco Bell - CC H2O,"Calle Marie Curie, 4,",28521,"Calle Marie Curie, 4, 28521 ",40.3372358,-3.525936,22
225256,KFC MADRID AVD ALBUFERA 26 - Activo,"Av. de la Albufera, 26,",28038,"Av. de la Albufera, 26, 28038 ",40.397199,-3.6673762,36
230342,Mila y Nesa (Madrid),"Calle de la Encomienda, 19",28012,"Calle de la Encomienda, 19 28012 ",40.4105753,-3.7059637,24
232028,KFC ARROYOMOLINOS CC XANADU,"calle Puerto de Navacerrada, s/n. Local R-21,",28939,"calle Puerto de Navacerrada, s/n. Local R-21, 28939 ",40.2996255,-3.9254003,39
245407,McDonald's - Alcalá,"Calle de Alcalá, 396,",28027,"Calle de Alcalá, 396, 28027 ",40.4365124,-3.6401872,38
247009,McDonald's - La Latina,C/ Toledo 63,28005,C/ Toledo 63 28005 ,40.4111589,-3.7078357,28
250367,McDonald's - Alcobendas BP,"Calle del Marqués de la Valdavia, 140,",28100,"Calle del Marqués de la Valdavia, 140, 28100 ",40.5474564,-3.6561848,39
8852,Steak Burger - Atocha,"Calle de Atocha, 110",28012,"Calle de Atocha, 110 28012 ",40.409597,-3.6936573,29
17665,Maki - Castellana,"Paseo de la Castellana, 89",28046,"Paseo de la Castellana, 89 28046 ",40.4499767,-3.6916087,25
18643,La Mafia se Sienta a la Mesa - Colon,Calle de Goya 5,28001,Calle de Goya 5 28001 ,40.4257494,-3.6889139,37
22407,Vips - Méndez Álvaro,"Calle Méndez Álvaro, 72",28045,"Calle Méndez Álvaro, 72 28045 ",40.394249,-3.6800324,29
41587,Taco Bell - Princesa,"Calle de la Princesa, 3",28008,"Calle de la Princesa, 3 28008 ",40.4250332,-3.7134458,37
117130,Anauco - Jose Fina,"Calle Jose Fina Aldecoa, 13, local 5",28055,"Calle Jose Fina Aldecoa, 13, local 5 28055 ",40.4943528,-3.6153663,42
162475,Starbucks - Padre Damián,"Calle de Padre Damián, 29",28036,"Calle de Padre Damián, 29 28036 ",40.4594488,-3.6856825,40
208084,Asador de pollos Virginia,"Av Vicente Ferrer 17, local 6",28918,"Av Vicente Ferrer 17, local 6 28918 ",40.3380286,-3.784093,19
