name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,Weekly orders,value
Mama uma,,5.0,2,28004.0,40.4268079,-3.6986831,2,10.0
La Guatona,$,5.0,3,28012.0,40.4077339,-3.7036534,1,15.0
La Costa,$$ - $$$,3.5,26,28035.0,40.475718,-3.7201470000000003,9,91.0
Waiwai,$$ - $$$,5.0,3,28003.0,40.4396808,-3.6990839999999996,35,15.0
Fantastic V,$,4.5,5,28004.0,40.4244549,-3.7020315999999998,3,22.5
KEBAB,,4.5,4,28008.0,40.4206028,-3.7160535000000006,7,18.0
Trattoria Pizzeria Passaparola 2,$,3.5,26,28047.0,40.389837,-3.752726,6,91.0
La Doma Argentina,$$ - $$$,3.5,48,28231.0,40.4369143,-3.6872169,95,168.0
Samsa Club,$$ - $$$,4.0,5,28023.0,40.4450846,-3.7871297999999993,4,20.0
Colpaz Hosteleria,$$ - $$$,3.5,11,,40.415510999999995,-3.7074008999999997,1,38.5
Pizza Jardin,$$ - $$$,3.5,59,28020.0,40.459230600000005,-3.6974671000000003,12,206.5
Burguerheim,,4.0,5,28016.0,40.4599936,-3.6768811,10,20.0
La Revancha,$$ - $$$,4.0,9,28004.0,40.4246721,-3.6976975,2,36.0
Gracias Padre Zona Rosa,,4.5,3,28004.0,40.4221674,-3.6973903,4,13.5
Devinums,$$ - $$$,3.5,17,28047.0,40.3822412,-3.7481537000000005,2,59.5
Croqueteria Focos,$$ - $$$,5.0,2,28017.0,40.43164829999999,-3.64088,2,10.0
Marietta Spazio Gourmet,$$ - $$$,5.0,2,28050.0,40.5408496,-3.6135129999999998,22,10.0
Isabel Maestre,$$ - $$$,4.0,5,28001.0,40.4301514,-3.6876010000000004,9,20.0
Flor de Primavera,$,3.5,13,28003.0,40.443001200000005,-3.7038497,2,45.5
Curry Station,$$ - $$$,3.5,27,28016.0,40.4583568,-3.6815729,8,94.5
La Doma,$$ - $$$,4.0,34,28009.0,40.4223208,-3.6737849999999996,33,136.0
Bushido Sushi Bar,,4.0,10,28013.0,40.417529200000004,-3.7112849999999997,1,40.0
Sugi Sushi,,4.0,8,28019.0,40.3980099,-3.7173513999999996,8,32.0
Piscolabis,$$ - $$$,3.5,55,28015.0,40.4373184,-3.7040300000000004,8,192.5
Delicias y Tortazos,,5.0,2,28032.0,40.4202541,-3.6134421999999997,4,10.0
Restaurante El Paraiso Chino,,4.5,4,28005.0,40.3987823,-3.7031083,25,18.0
WAYCUP Specialty Coffee,$,5.0,2,28006.0,40.4369956,-3.6829321000000004,41,10.0
Rocket by Ollywood,$,4.5,9,28001.0,40.4223645,-3.6832159,2,40.5
Bombay Masala,$$ - $$$,3.5,163,28015.0,40.4247869,-3.7098693999999997,39,570.5
Meson Restaurante Los Verdes,$$ - $$$,3.5,43,28029.0,40.4800101,-3.7074566,22,150.5
Tasty Market,$$ - $$$,5.0,2,28009.0,40.4231328,-3.6796938999999997,8,10.0
Heladerias Conico,,5.0,3,28022.0,40.446969,-3.587343,34,15.0
