name,Weekly orders
Cafe Guindalera,27.0
Steinlager,27.0
Angelita Madrid,27.0
Bar Zamorano,27.0
Pistacho,27.0
Meson del Cid,27.0
La Cautiva,27.0
Taberna Mas Al Sur,27.0
Luna Gastrobar,27.0
La Manica,27.0
Eggofre,27.0
El Pedregal,27.0
El Balandro,27.0
Restaurante El Azulon,27.0
Trattoria In Crescendo,27.0
Pomerania,27.0
El Meson de la Cerveza,27.0
Espacio 33,27.0
La Lanzada Cocina Gallega,27.0
Conchas Casa de comidas,27.0
Cascaras,27.0
Cuatro Gatos Cerveceria,26.0
Milford,26.0
Cafe Late,26.0
San Telmo,26.0
Restaurante San Francisco,26.0
Soup Bowls,26.0
Restaurante Hileras Michel,26.0
Purnima Indian Restaurant,26.0
El Ancla,26.0
Tgi Friday's,26.0
Loureiro Taberna Cocina Gallega,26.0
Bartoky's,26.0
La Menuteca de Silvia y Ana,26.0
Torrenostra,26.0
Pasta Pesto,26.0
Bar Zoilo,26.0
Cafeteria Ambar,26.0
Cevicheria Restaurante Delicias del Mar Picante,26.0
Bar Hidalgo,26.0
Penalaire,26.0
La Taberna de Ramales,26.0
Burger House,26.0
Siam,26.0
Chef Ye,26.0
El Sueno,26.0
Kiosco Torrero,26.0
Cabala Premium Pub,26.0
Canela Cerveceria Restaurante,26.0
Alcuzcuz de Alhuzema,26.0
Viandas WareHouse,26.0
Doner Kebab Armenia,26.0
La Pena Soriana,26.0
La Nonna,26.0
Tanqueray Room es ahora Marta Carino,26.0
Teleferico,26.0
Turkey Bosforos,26.0
JARDIN SALVADOR BACHILLER,26.0
Casa Fonzo,26.0
El Mandil,26.0
Ten Con Ten,26.0
Bar Hnos. Rodriguez,26.0
The Fish & Chips Company,26.0
El Rincon,26.0
A'Gaivotina,26.0
Guleria Gin Restaurant Bar,26.0
Cerveceria Canon,26.0
Patio de Leones,26.0
Corps Taberna,26.0
Casa Nemesio,26.0
Venta Carmona,26.0
Himalaya,26.0
La Pavia de Chamberi,26.0
Huo Guo,26.0
El Cielo,26.0
Yakitoro,26.0
Eccolo,26.0
Meson O'Chanqueiro,26.0
Miss Chen,26.0
Tampu,26.0
The Chatter Cafe Sanse,26.0
Alto Aragon,26.0
Las Jarritas,26.0
Restaurante Lua,26.0
Sushi Koi,26.0
Pasteleria Pareli,26.0
EL Toril Urban Gourmet,26.0
Restaurante Dimdim,25.0
Moharaj,25.0
El Oso de Jorge Juan,25.0
Real Estambul,25.0
El Recuerdo,25.0
Bodega de los Secretos,25.0
Amordmadre,25.0
Trattoria Pinocchio,25.0
Taberna Rodri,25.0
Origen,25.0
Restaurante Casa Vazquez,25.0
Casa de Burgos de Araceli,25.0
Mamma Cookie,25.0
Cerveceria Alemana,25.0
Congosto 47,25.0
XAREL-LO Gastro-Bar,25.0
Madame Salade AZCA,25.0
Bagatella,25.0
Casa Bianco,25.0
Bar Restaurante Los Garcias,25.0
Meson Rincon de la Cava,25.0
Main 204,25.0
7 i(t) Gastro Lab,25.0
Espana Cani,25.0
Pizzeria la Ronda,25.0
Pizza Donna,25.0
El Babero,25.0
TAPAS MARKET,25.0
La Peseta de Dona Casilda,25.0
La Maquina De Chamberi,25.0
La Lumbre,25.0
Los Gallo,25.0
Torijiro,25.0
La Casona,25.0
La Jamboteca de Vallecas,25.0
SottoSopra,25.0
La Blanca Doble,25.0
